# time, MeanKE, MeanKEDR, MeanP, MeanFKEDR
8.40716418E+00 9.32933088975971825E-02 1.06595600498962696E-02 1.80352208942311326E-01 6.55286845382678507E-03
8.41306605E+00 9.32252657634745352E-02 1.06633051329926686E-02 1.80735450229608963E-01 6.55107234842436728E-03
8.41892854E+00 9.31576631965545104E-02 1.06668699318045214E-02 1.80760056872214137E-01 6.54923287549909368E-03
8.42476264E+00 9.30903741843829569E-02 1.06702777004346692E-02 1.80965190599687381E-01 6.54735405142664942E-03
8.43057918E+00 9.30232734338063000E-02 1.06735492091269250E-02 1.81017590817213303E-01 6.54543933055306594E-03
8.43638875E+00 9.29562377297561554E-02 1.06767033279837296E-02 1.81403741232064014E-01 6.54349174411186871E-03
8.44220174E+00 9.28891460101817085E-02 1.06797575183202442E-02 1.81417952883466099E-01 6.54151398869545937E-03
8.44802835E+00 9.28218790792408599E-02 1.06827283003166837E-02 1.81463557191689662E-01 6.53950847306729397E-03
8.45387865E+00 9.27543188867120810E-02 1.06856317845456326E-02 1.81848444675855453E-01 6.53747733019110436E-03
8.45976269E+00 9.26863473079406613E-02 1.06884842967094849E-02 1.81868758636191008E-01 6.53542239949764583E-03
8.46569066E+00 9.26178443600786105E-02 1.06913030528171579E-02 1.81925147493292555E-01 6.53334518279501120E-03
8.47165345E+00 9.25489129108386793E-02 1.06940979488476667E-02 1.82362840415514760E-01 6.53125371727710999E-03
8.47762512E+00 9.24798509424950149E-02 1.06968737379903311E-02 1.82372230963532889E-01 6.52916169515232493E-03
8.48361034E+00 9.24106024452099745E-02 1.06996508666950662E-02 1.82405339250516579E-01 6.52707154746934217E-03
8.48958555E+00 9.23414382593076011E-02 1.07024366947911665E-02 1.82752443444970269E-01 6.52499496162821900E-03
8.49554734E+00 9.22723963260828062E-02 1.07052469996706864E-02 1.82783567533256835E-01 6.52293586843929758E-03
8.50150056E+00 9.22034188283855638E-02 1.07080994969539888E-02 1.83027930771001240E-01 6.52089462158525219E-03
8.50745012E+00 9.21344472846931661E-02 1.07110100154254803E-02 1.83073300864223243E-01 6.51887094757925851E-03
8.51340089E+00 9.20654232574023151E-02 1.07139929078238546E-02 1.83386536458701677E-01 6.51686407003265050E-03
8.51935770E+00 9.19962890458157628E-02 1.07170613419892025E-02 1.83415471840956718E-01 6.51487284898850071E-03
8.52532524E+00 9.19269883888422651E-02 1.07202271881077504E-02 1.83502377871851419E-01 6.51289593717393426E-03
8.53130803E+00 9.18574671865273890E-02 1.07235004526548428E-02 1.83953196050804652E-01 6.51093194377003540E-03
8.53730478E+00 9.17877390339403992E-02 1.07268853166147572E-02 1.83957608059592326E-01 6.50898140272753410E-03
8.54327952E+00 9.17182217099222069E-02 1.07303623268673216E-02 1.83981567350220171E-01 6.50705612041391820E-03
8.54924754E+00 9.16487377567281603E-02 1.07339374878154727E-02 1.84264472661019585E-01 6.50515133672774273E-03
8.55517538E+00 9.15796805351715981E-02 1.07375839657804610E-02 1.84317054713075024E-01 6.50327794321882771E-03
8.56108398E+00 9.15108054830050394E-02 1.07413068103870430E-02 1.84678637102842991E-01 6.50142961804307199E-03
8.56699731E+00 9.14418329195334639E-02 1.07451122621935596E-02 1.84699334802294113E-01 6.49959925265539227E-03
8.57286713E+00 9.13733264233343723E-02 1.07489603699543971E-02 1.84754277122787858E-01 6.49780212166622007E-03
8.57869672E+00 9.13052495737384645E-02 1.07528459770213185E-02 1.85173358919585862E-01 6.49603737786877324E-03
8.58450160E+00 9.12374231726637147E-02 1.07567739754023620E-02 1.85187378685702342E-01 6.49430047177755945E-03
8.59029970E+00 9.11696387580569478E-02 1.07607528754161148E-02 1.85230735375165184E-01 6.49258623735000061E-03
8.59611101E+00 9.11016635257757279E-02 1.07647949696964458E-02 1.85590805312931595E-01 6.49088907902856550E-03
8.60192515E+00 9.10336194299991713E-02 1.07688941425432248E-02 1.85619244160427604E-01 6.48921230460644625E-03
8.60772487E+00 9.09657093167653419E-02 1.07730424279198246E-02 1.85705123298151364E-01 6.48756093741181556E-03
8.61352480E+00 9.08977626264764749E-02 1.07772581725526905E-02 1.86157539371191894E-01 6.48593068494954152E-03
8.61934034E+00 9.08295991213420167E-02 1.07815640518323756E-02 1.86162762731159087E-01 6.48431699533189281E-03
